seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	152483439	152483558	120	*	X05351	254910	152483320	152484653	1334	+	0	inside	118	LCE5A
chr1	152730588	152730722	135	*	X05368	448834	152730506	152734529	4024	+	0	inside	81	KPRP
chr1	152747313	152747432	120	*	X05371	353137	152748848	152749445	598	+	1415	upstream	1415	LCE1F
chr1	152757288	152757407	120	*	X05373	353135	152758753	152760901	2149	+	1345	upstream	1345	LCE1E
chr1	152758818	152758967	150	*	X05374	353135	152758753	152760901	2149	+	0	inside	64	LCE1E
chr1	152769508	152769562	55	*	X05375	353134	152769227	152770657	1431	+	0	inside	280	LCE1D
chr1	152783528	152783647	120	*	X05379	353132	152784447	152785585	1139	+	799	upstream	799	LCE1B
chr1	152783912	152784046	135	*	X05380	353132	152784447	152785585	1139	+	400	upstream	400	LCE1B
chr1	152798213	152798317	105	*	X05382	353131	152799949	152800573	625	+	1631	upstream	1631	LCE1A
chr1	152798605	152798739	135	*	X05383	353131	152799949	152800573	625	+	1209	upstream	1209	LCE1A
chr1	152813585	152813704	120	*	X05384	448835	152815330	152816459	1130	+	1625	upstream	1625	LCE6A
chr1	152813945	152814079	135	*	X05385	448835	152815330	152816459	1130	+	1250	upstream	1250	LCE6A
chr1	152879150	152879314	165	*	X05395	3713	152881039	152884362	3324	+	1724	upstream	1724	IVL
chr1	152956107	152956168	62	*	X05412	6698	152956564	152958290	1727	+	395	upstream	395	SPRR1A
chr1	153189362	153189496	135	*	X05430	574414	153190060	153191793	1734	+	563	upstream	563	PRR9
chr1	153321594	153321713	120	*	X05475	57115	153302597	153321022	18426	-	571	upstream	571	PGLYRP4
chr1	153322354	153322703	350	*	X05476	57115	153302597	153321022	18426	-	1331	upstream	1331	PGLYRP4
chr1	153388659	153388746	88	*	X05499	338324	153389000	153395701	6702	+	253	upstream	253	S100A7A
chr1	153388777	153388961	185	*	X05500	338324	153389000	153395701	6702	+	38	upstream	38	S100A7A
chr1	153432742	153432876	135	*	X05526	6278	153430220	153433137	2918	-	0	inside	260	S100A7
chr1	153434143	153434226	84	*	X05527	6278	153430220	153433137	2918	-	1005	upstream	1005	S100A7
chr1	154296338	154296457	120	*	X05536	57198	154298036	154323780	25745	+	1578	upstream	1578	ATP8B2
chr1	154538693	154538812	120	*	X05554	1141	154540257	154552353	12097	+	1444	upstream	1444	CHRNB2
chr1	154540058	154540215	158	*	X05555	1141	154540257	154552353	12097	+	41	upstream	41	CHRNB2
chr1	156392206	156392340	135	*	X05684	407046	156390133	156390221	89	-	1984	upstream	1984	MIR9-1
chr1	156400292	156400395	104	*	X05695	10485	156374055	156400493	26439	-	0	inside	97	MIR9-1HG
chr1	156400471	156400549	79	*	X05696	10485	156374055	156400493	26439	-	0	overlapStart	0	MIR9-1HG
chr1	156401087	156401205	119	*	X05697	10485	156374055	156400493	26439	-	593	upstream	593	MIR9-1HG
chr1	156402164	156402210	47	*	X05698	10485	156374055	156400493	26439	-	1670	upstream	1670	MIR9-1HG
chr1	156828768	156828856	89	*	X05717	3645	156810665	156828712	18048	-	55	upstream	55	INSRR
chr1	156829517	156829711	195	*	X05718	3645	156810665	156828712	18048	-	804	upstream	804	INSRR
chr1	157521990	157522124	135	*	X05859	83416	157483167	157522310	39144	-	0	inside	185	FCRL5
chr1	158736042	158736191	150	*	X05908	128372	158735534	158736472	939	-	0	inside	280	OR6N1
chr1	158736478	158736623	146	*	X05909	128372	158735534	158736472	939	-	5	upstream	5	OR6N1
chr1	159171914	159172222	309	*	X05933	2532	159173803	159176290	2488	+	1580	upstream	1580	ACKR1
chr1	159171914	159172222	309	*	X05933	100131825	159165775	159172212	6438	-	0	overlapStart	0	CADM3-AS1
chr1	159172238	159172423	186	*	X05934	2532	159173803	159176290	2488	+	1379	upstream	1379	ACKR1
chr1	159172238	159172423	186	*	X05934	100131825	159165775	159172212	6438	-	25	upstream	25	CADM3-AS1
chr1	159173078	159173257	180	*	X05935	2532	159173803	159176290	2488	+	545	upstream	545	ACKR1
chr1	159173078	159173257	180	*	X05935	100131825	159165775	159172212	6438	-	865	upstream	865	CADM3-AS1
chr1	159173594	159173728	135	*	X05936	2532	159173803	159176290	2488	+	74	upstream	74	ACKR1
chr1	159173594	159173728	135	*	X05936	100131825	159165775	159172212	6438	-	1381	upstream	1381	CADM3-AS1
chr1	159173918	159174112	195	*	X05937	2532	159173803	159176290	2488	+	0	inside	114	ACKR1
chr1	159173918	159174112	195	*	X05937	100131825	159165775	159172212	6438	-	1705	upstream	1705	CADM3-AS1
chr1	159174143	159174487	345	*	X05938	100131825	159165775	159172212	6438	-	1930	upstream	1930	CADM3-AS1
chr1	159923998	159924282	285	*	X05990	89886	159921282	159924044	2763	-	0	overlapStart	0	SLAMF9
chr1	160002778	160002906	129	*	X06001	93183	159997462	160001783	4322	-	994	upstream	994	PIGM
chr1	160041644	160041838	195	*	X06022	3766	160007257	160040051	32795	-	1592	upstream	1592	KCNJ10
chr1	160051209	160051643	435	*	X06023	3765	160051360	160059212	7853	+	0	overlapStart	0	KCNJ9
chr1	160832283	160832537	255	*	X06122	51744	160799950	160832692	32743	-	0	inside	154	CD244
chr1	160832875	160833009	135	*	X06123	51744	160799950	160832692	32743	-	182	upstream	182	CD244
chr1	166943062	166943132	71	*	X06320	84944	166944819	166991447	46629	+	1686	upstream	1686	MAEL
chr1	166943317	166943436	120	*	X06321	84944	166944819	166991447	46629	+	1382	upstream	1382	MAEL
chr1	166943857	166944021	165	*	X06322	84944	166944819	166991447	46629	+	797	upstream	797	MAEL
chr1	166945831	166945997	167	*	X06323	387597	166882441	166944561	62121	-	1269	upstream	1269	ILDR2
chr1	175036389	175036538	150	*	X06405	63923	175036994	175117202	80209	+	455	upstream	455	TNN
chr1	179696566	179696685	120	*	X06540	148753	179696915	179785333	88419	+	229	upstream	229	FAM163A
chr1	180197813	180197932	120	*	X06559	89884	180199433	180244188	44756	+	1500	upstream	1500	LHX4
chr1	180198044	180198208	165	*	X06560	89884	180199433	180244188	44756	+	1224	upstream	1224	LHX4
chr1	181203904	181204053	150	*	X06576	100287948	181205524	181207740	2217	+	1470	upstream	1470	LINC01699
chr1	181204503	181204667	165	*	X06577	100287948	181205524	181207740	2217	+	856	upstream	856	LINC01699
chr1	201915480	201915489	10	*	X06810	25802	201865584	201915716	50133	-	0	inside	226	LMOD1
chr1	202681180	202681329	150	*	X06894	127833	202559725	202679551	119827	-	1628	upstream	1628	SYT2
chr1	202831120	202831254	135	*	X06896	148709	202830882	202844369	13488	+	0	inside	237	ACTG1P25
chr1	203094758	203094862	105	*	X06926	134	203096836	203136533	39698	+	1973	upstream	1973	ADORA1
chr1	203095193	203095226	34	*	X06927	134	203096836	203136533	39698	+	1609	upstream	1609	ADORA1
chr1	203095281	203095337	57	*	X06928	134	203096836	203136533	39698	+	1498	upstream	1498	ADORA1
chr1	203095433	203095616	184	*	X06929	134	203096836	203136533	39698	+	1219	upstream	1219	ADORA1
chr1	203095795	203095832	38	*	X06930	134	203096836	203136533	39698	+	1003	upstream	1003	ADORA1
chr1	204654855	204654930	76	*	X07062	10446	204586303	204654597	68295	-	257	upstream	257	LRRN2
chr1	204655258	204655362	105	*	X07063	10446	204586303	204654597	68295	-	660	upstream	660	LRRN2
chr1	204655891	204655898	8	*	X07064	10446	204586303	204654597	68295	-	1293	upstream	1293	LRRN2
chr1	204655955	204656025	71	*	X07065	10446	204586303	204654597	68295	-	1357	upstream	1357	LRRN2
chr1	204656248	204656367	120	*	X07066	10446	204586303	204654597	68295	-	1650	upstream	1650	LRRN2
chr1	205010149	205010192	44	*	X07291	6900	205012065	205047171	35107	+	1872	upstream	1872	CNTN2
chr1	205010328	205010462	135	*	X07292	6900	205012065	205047171	35107	+	1602	upstream	1602	CNTN2
chr1	205010889	205011023	135	*	X07293	6900	205012065	205047171	35107	+	1041	upstream	1041	CNTN2
chr1	205011753	205011963	211	*	X07294	6900	205012065	205047171	35107	+	101	upstream	101	CNTN2
chr1	205536599	205536718	120	*	X07366	148808	205538112	205572046	33935	+	1393	upstream	1393	MFSD4A
chr1	205536892	205537013	122	*	X07367	148808	205538112	205572046	33935	+	1098	upstream	1098	MFSD4A
chr1	205819080	205819123	44	*	X07383	148811	205797150	205819276	22127	-	0	inside	152	PM20D1
chr1	206945488	206945622	135	*	X07410	3586	206940948	206945839	4892	-	0	inside	216	IL10
chr1	206946988	206947122	135	*	X07411	3586	206940948	206945839	4892	-	1148	upstream	1148	IL10
chr1	206947416	206947602	187	*	X07412	3586	206940948	206945839	4892	-	1576	upstream	1576	IL10
chr1	208086604	208086731	128	*	X07416	947	208059883	208084683	24801	-	1920	upstream	1920	CD34
chr1	210404350	210404470	121	*	X07522	56256	210406195	210416440	10246	+	1724	upstream	1724	SERTAD4
chr1	210407491	210407652	162	*	X07523	574036	210404804	210407466	2663	-	24	upstream	24	SERTAD4-AS1
chr1	212874292	212874377	86	*	X07585	55509	212859759	212873327	13569	-	964	upstream	964	BATF3
chr1	212874498	212874632	135	*	X07586	55509	212859759	212873327	13569	-	1170	upstream	1170	BATF3
chr1	218456667	218456809	143	*	X07711	51018	218458629	218511325	52697	+	1819	upstream	1819	RRP15
chr1	230563181	230563330	150	*	X07948	79605	230457392	230561674	104283	-	1506	upstream	1506	PGBD5
chr1	231323401	231323565	165	*	X07992	149373	231319845	231323373	3529	-	27	upstream	27	TRIM67-AS1
chr1	244210595	244210652	58	*	X08207	10472	244212241	244220780	8540	+	1588	upstream	1588	ZBTB18
chr1	245318451	245318615	165	*	X08282	55083	245318287	245866428	548142	+	0	inside	163	KIF26B
chr1	247579142	247579276	135	*	X08482	114548	247579458	247612406	32949	+	181	upstream	181	NLRP3
chr1	247579681	247579815	135	*	X08483	114548	247579458	247612406	32949	+	0	inside	222	NLRP3
chr1	248791529	248791663	135	*	X08504	127077	248789479	248790429	951	-	1099	upstream	1099	OR2T11
chr10	26504084	26504101	18	*	X08848	2572	26505236	26593491	88256	+	1134	upstream	1134	GAD2
chr10	43491121	43491240	120	*	X08899	100847014	43493011	43493129	119	+	1770	upstream	1770	MIR5100
chr10	45496205	45496247	43	*	X08967	7570	45496273	45500777	4505	+	25	upstream	25	ZNF22
chr10	45496205	45496247	43	*	X08967	220979	45493146	45496470	3325	-	0	inside	222	ZNF22-AS1
chr10	45496730	45496819	90	*	X08968	220979	45493146	45496470	3325	-	259	upstream	259	ZNF22-AS1
chr10	49891548	49891682	135	*	X09172	57705	49892921	50191001	298081	+	1238	upstream	1238	WDFY4
chr10	50122479	50122556	78	*	X09231	474354	50117529	50122280	4752	-	198	upstream	198	LRRC18
chr10	50122893	50123012	120	*	X09232	474354	50117529	50122280	4752	-	612	upstream	612	LRRC18
chr10	50123545	50123627	83	*	X09233	474354	50117529	50122280	4752	-	1264	upstream	1264	LRRC18
chr10	50194659	50194838	180	*	X09251	100422895	50193557	50193632	76	-	1026	upstream	1026	MIR4294
chr10	50342506	50342687	182	*	X09299	170370	50339201	50342065	2865	-	440	upstream	440	FAM170B
chr10	50396244	50396351	108	*	X09310	170371	50363891	50396407	32517	-	0	inside	55	TMEM273
chr10	50505855	50505989	135	*	X09331	118461	50507187	50535537	28351	+	1197	upstream	1197	C10orf71
chr10	50506500	50506702	203	*	X09332	118461	50507187	50535537	28351	+	484	upstream	484	C10orf71
chr10	50887962	50888058	97	*	X09376	282966	50887684	50916956	29273	+	0	inside	277	C10orf53
chr10	51549323	51549442	120	*	X09387	4477	51549553	51562518	12966	+	110	upstream	110	MSMB
chr10	52647299	52647322	24	*	X09394	29974	52559169	52645435	86267	-	1863	upstream	1863	A1CF
chr10	64580699	64580773	75	*	X09411	1959	64571756	64578927	7172	-	1771	upstream	1771	EGR2
chr10	69455930	69456064	135	*	X09458	29119	67679725	69455949	1776225	-	0	overlapStart	0	CTNNA3
chr10	71333324	71333493	170	*	X09472	50674	71331791	71333210	1420	-	113	upstream	113	NEUROG3
chr10	71333768	71333902	135	*	X09473	50674	71331791	71333210	1420	-	557	upstream	557	NEUROG3
chr10	71334289	71334412	124	*	X09474	50674	71331791	71333210	1420	-	1078	upstream	1078	NEUROG3
chr10	71334548	71334667	120	*	X09475	50674	71331791	71333210	1420	-	1337	upstream	1337	NEUROG3
chr10	71334859	71335128	270	*	X09476	50674	71331791	71333210	1420	-	1648	upstream	1648	NEUROG3
chr10	71811737	71811856	120	*	X09608	55506	71812357	71872040	59684	+	500	upstream	500	MACROH2A2
chr10	72363464	72363502	39	*	X09665	5551	72357104	72362531	5428	-	932	upstream	932	PRF1
chr10	72363521	72363640	120	*	X09666	5551	72357104	72362531	5428	-	989	upstream	989	PRF1
chr10	72544797	72544931	135	*	X09706	219793	72530995	72545157	14163	-	0	inside	225	TBATA
chr10	72545127	72545261	135	*	X09707	219793	72530995	72545157	14163	-	0	overlapStart	0	TBATA
chr10	72546627	72546746	120	*	X09708	219793	72530995	72545157	14163	-	1469	upstream	1469	TBATA
chr10	72970286	72970420	135	*	X09903	219699	72972292	73062635	90344	+	1871	upstream	1871	UNC5B
chr10	72970706	72970825	120	*	X09904	219699	72972292	73062635	90344	+	1466	upstream	1466	UNC5B
chr10	72970988	72971167	180	*	X09905	219699	72972292	73062635	90344	+	1124	upstream	1124	UNC5B
chr10	81370239	81370343	105	*	X10493	653509	81370695	81375199	4505	+	351	upstream	351	SFTPA1
chr10	81370419	81370568	150	*	X10494	653509	81370695	81375199	4505	+	126	upstream	126	SFTPA1
chr10	81664949	81665101	153	*	X10496	100288974	81664654	81691574	26921	+	0	inside	294	BMS1P21
chr10	82051110	82051289	180	*	X10518	4143	82031576	82049434	17859	-	1675	upstream	1675	MAT1A
chr10	85953189	85953353	165	*	X10558	92211	85954412	85979376	24965	+	1058	upstream	1058	CDHR1
chr10	86001162	86001296	135	*	X10580	26103	85991276	86001217	9942	-	0	overlapStart	0	LRIT1
chr10	86004054	86004188	135	*	X10581	5995	86004809	86018944	14136	+	620	upstream	620	RGR
chr10	86004417	86004551	135	*	X10582	5995	86004809	86018944	14136	+	257	upstream	257	RGR
chr10	86004799	86005103	305	*	X10583	5995	86004809	86018944	14136	+	0	overlapStart	0	RGR
chr10	97732626	97732760	135	*	X10693	387707	97733786	97792441	58656	+	1025	upstream	1025	CC2D2B
chr10	97732866	97732955	90	*	X10694	387707	97733786	97792441	58656	+	830	upstream	830	CC2D2B
chr10	98031074	98031139	66	*	X10717	29760	97951455	98031333	79879	-	0	inside	193	BLNK
chr10	98031839	98031956	118	*	X10718	29760	97951455	98031333	79879	-	505	upstream	505	BLNK
chr10	98032169	98032232	64	*	X10719	29760	97951455	98031333	79879	-	835	upstream	835	BLNK
chr10	98119139	98119272	134	*	X10737	93377	98102975	98119092	16118	-	46	upstream	46	OPALIN
chr10	98119388	98119393	6	*	X10738	93377	98102975	98119092	16118	-	295	upstream	295	OPALIN
chr10	98119994	98120128	135	*	X10739	93377	98102975	98119092	16118	-	901	upstream	901	OPALIN
chr10	98947472	98947556	85	*	X10908	6585	98757795	98945683	187889	-	1788	upstream	1788	SLIT1
chr10	99610288	99610296	9	*	X10920	401647	99609995	99631335	21341	+	0	inside	292	GOLGA7B
chr10	99792582	99792731	150	*	X11007	55118	99624757	99790585	165829	-	1996	upstream	1996	CRTAC1
chr10	102222474	102222623	150	*	X11109	7479	102222812	102243399	20588	+	188	upstream	188	WNT8B
chr10	102503605	102503799	195	*	X11193	5076	102505468	102589698	84231	+	1668	upstream	1668	PAX2
chr10	102503950	102504082	133	*	X11194	5076	102505468	102589698	84231	+	1385	upstream	1385	PAX2
chr10	115999142	115999211	70	*	X11510	340706	115999013	116054259	55247	+	0	inside	128	VWA2
chr10	118611140	118611406	267	*	X11547	259217	118430703	118609716	179014	-	1423	upstream	1423	HSPA12A
chr10	119305873	119305906	34	*	X11602	196047	119243804	119304579	60776	-	1293	upstream	1293	EMX2OS
chr10	119306473	119306652	180	*	X11603	196047	119243804	119304579	60776	-	1893	upstream	1893	EMX2OS
chr10	132761017	132761059	43	*	X12874	100422867	132760851	132760931	81	-	85	upstream	85	MIR378C
chr10	133624444	133624548	105	*	X13082	399827	133604734	133622535	17802	-	1908	upstream	1908	LINC01164
chr10	134884497	134884938	442	*	X13195	84435	134884433	134945179	60747	+	0	inside	63	ADGRA1
chr11	3237660	3237794	135	*	X13261	283303	3239562	3244361	4800	+	1767	upstream	1767	MRGPRG-AS1
chr11	3412769	3412903	135	*	X13273	10821	3411937	3413145	1209	-	0	inside	241	OR7E12P
chr11	4598715	4598834	120	*	X13302	143501	4592653	4599050	6398	-	0	inside	215	C11orf40
chr11	5530927	5531149	223	*	X13303	50613	5528530	5531153	2624	-	0	inside	3	UBQLN3
chr11	5532884	5532919	36	*	X13304	50613	5528530	5531153	2624	-	1730	upstream	1730	UBQLN3
chr11	6192383	6192532	150	*	X13315	255725	6190585	6191556	972	-	826	upstream	826	OR52B2
chr11	6279871	6280035	165	*	X13320	887	6280904	6293357	12454	+	868	upstream	868	CCKBR
chr11	6280078	6280265	188	*	X13321	887	6280904	6293357	12454	+	638	upstream	638	CCKBR
chr11	6791079	6791213	135	*	X13347	338755	6789238	6790188	951	-	890	upstream	890	OR2AG2
chr11	7961703	7961852	150	*	X13385	26496	7960123	7961067	945	-	635	upstream	635	OR10A3
chr11	8038904	8039008	105	*	X13386	7275	8040791	8127654	86864	+	1782	upstream	1782	TUB
chr11	11375414	11375533	120	*	X13551	283106	11373489	11374904	1416	-	509	upstream	509	CSNK2A3
chr11	11376299	11376418	120	*	X13552	283106	11373489	11374904	1416	-	1394	upstream	1394	CSNK2A3
chr11	15093293	15093427	135	*	X13750	797	15095146	15103888	8743	+	1718	upstream	1718	CALCB
chr11	18138160	18138279	120	*	X13803	6290	18134019	18137679	3661	-	480	upstream	480	SAA3P
chr11	18956631	18956693	63	*	X13845	259249	18955360	18956549	1190	-	81	upstream	81	MRGPRX1
chr11	19370790	19370909	120	*	X13870	89797	19372271	20143147	770877	+	1361	upstream	1361	NAV2
chr11	19371255	19371389	135	*	X13871	89797	19372271	20143147	770877	+	881	upstream	881	NAV2
chr11	33563659	33563943	285	*	X14121	25758	33563877	33695646	131770	+	0	overlapStart	0	KIAA1549L
chr11	33564019	33564213	195	*	X14122	25758	33563877	33695646	131770	+	0	inside	141	KIAA1549L
chr11	35441860	35441870	11	*	X14175	6506	35272752	35441610	168859	-	249	upstream	249	SLC1A2
chr11	35442536	35442567	32	*	X14176	6506	35272752	35441610	168859	-	925	upstream	925	SLC1A2
chr11	36537157	36537321	165	*	X14199	5896	36537014	36614706	77693	+	0	inside	142	RAG1
chr11	43579297	43579581	285	*	X14226	100313777	43581206	43581303	98	+	1624	upstream	1624	MIR670
chr11	43579732	43579881	150	*	X14227	100313777	43581206	43581303	98	+	1324	upstream	1324	MIR670
chr11	43580092	43580211	120	*	X14228	100313777	43581206	43581303	98	+	994	upstream	994	MIR670
chr11	43580287	43580496	210	*	X14229	100313777	43581206	43581303	98	+	709	upstream	709	MIR670
chr11	44993544	44993604	61	*	X14355	221122	44995453	44999578	4126	+	1848	upstream	1848	LINC02685
chr11	45113516	45113579	64	*	X14405	56981	45115564	45256675	141112	+	1984	upstream	1984	PRDM11
